Model:	LI-7810
SN:	TG10-01166
Software Version:	2.0.22
Timestamp:	2021-04-08 14:26:25
Timezone:	Europe/Berlin
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1617885117	785906076	1342	256	2021-04-08	14:31:57	nan	nan	nan	101.524	27.8723	101.587	43.5378	0	0	28.6846	-16000	0	23.6328	141
DATA	1617885118	35906076	1343	256	2021-04-08	14:31:58	nan	nan	nan	101.525	27.8805	101.589	43.5378	0	0	28.6934	-16000	0	23.6313	 80
DATA	1617885120	785906076	1354	256	2021-04-08	14:32:00	nan	nan	nan	101.524	27.9259	101.586	43.5378	0	0	28.7414	-16000	0	23.6328	123
DATA	1617885121	785505056	1358	256	2021-04-08	14:32:01	nan	nan	nan	101.524	27.9417	101.587	43.5378	0	0	28.7576	-16000	0	23.6325	125
DATA	1617885123	285505056	1364	256	2021-04-08	14:32:03	nan	nan	nan	101.521	27.9741	101.584	43.5378	0	0	28.7918	-16000	0	23.6328	118
DATA	1617885125	535505056	1373	256	2021-04-08	14:32:05	nan	nan	nan	101.513	28.0181	101.576	43.5378	0	0	28.8389	-16000	0	23.6328	115
DATA	1617885128	785307884	1386	256	2021-04-08	14:32:08	nan	nan	nan	101.512	28.0763	101.576	43.5378	0	0	28.8994	-16000	0	23.6328	148
DATA	1617885134	535307884	1409	256	2021-04-08	14:32:14	nan	nan	nan	101.51	28.1759	101.574	43.5378	0	0	29.0042	-16000	0	23.6323	 57
DATA	1617885135	35307884	1411	256	2021-04-08	14:32:15	nan	nan	nan	101.511	28.188	101.573	43.5378	0	0	29.0161	-16000	0	23.6313	251
DATA	1617885137	34913063	1419	256	2021-04-08	14:32:17	nan	nan	nan	101.513	28.2197	101.575	43.5378	0	0	29.0498	-16000	0	23.6325	 68
DATA	1617885139	284913063	1428	256	2021-04-08	14:32:19	nan	nan	nan	101.513	28.2653	101.576	43.5378	0	0	29.0973	-16000	0	23.6328	126
DATA	1617885141	34913063	1435	256	2021-04-08	14:32:21	nan	nan	nan	101.513	28.2948	101.577	43.5378	0	0	29.1284	-16000	0	23.6323	 54
